title,url,publishedAt,overall_sentiment,nike_sentiment,nike_relevance,lvmh_sentiment,lvmh_relevance,inditex_sentiment,inditex_relevance
Nike shares rise as retail growth bounces back strongly - Day -0,https://finance.yahoo.com/news/nike-sim-0,2026-05-15 00:12:29,0.25,0.45,0.85,0.35,0.6,0.15,0.7
Nike shares rise as retail growth bounces back strongly - Day -1,https://finance.yahoo.com/news/nike-sim-1,2026-05-14 00:12:29,-0.15,-0.2,0.85,0.05,0.6,-0.1,0.7
Nike shares rise as retail growth bounces back strongly - Day -2,https://finance.yahoo.com/news/nike-sim-2,2026-05-13 00:12:29,0.25,0.45,0.85,0.05,0.6,-0.1,0.7
Nike shares rise as retail growth bounces back strongly - Day -3,https://finance.yahoo.com/news/nike-sim-3,2026-05-12 00:12:29,-0.15,-0.2,0.85,0.35,0.6,-0.1,0.7
Nike shares rise as retail growth bounces back strongly - Day -4,https://finance.yahoo.com/news/nike-sim-4,2026-05-11 00:12:29,0.25,0.45,0.85,0.05,0.6,0.15,0.7
Nike shares rise as retail growth bounces back strongly - Day -5,https://finance.yahoo.com/news/nike-sim-5,2026-05-10 00:12:29,-0.15,-0.2,0.85,0.05,0.6,-0.1,0.7
Nike shares rise as retail growth bounces back strongly - Day -6,https://finance.yahoo.com/news/nike-sim-6,2026-05-09 00:12:29,0.25,0.45,0.85,0.35,0.6,-0.1,0.7
Nike shares rise as retail growth bounces back strongly - Day -7,https://finance.yahoo.com/news/nike-sim-7,2026-05-08 00:12:29,-0.15,-0.2,0.85,0.05,0.6,-0.1,0.7
Nike shares rise as retail growth bounces back strongly - Day -8,https://finance.yahoo.com/news/nike-sim-8,2026-05-07 00:12:29,0.25,0.45,0.85,0.05,0.6,0.15,0.7
Nike shares rise as retail growth bounces back strongly - Day -9,https://finance.yahoo.com/news/nike-sim-9,2026-05-06 00:12:29,-0.15,-0.2,0.85,0.35,0.6,-0.1,0.7
Nike shares rise as retail growth bounces back strongly - Day -10,https://finance.yahoo.com/news/nike-sim-10,2026-05-05 00:12:29,0.25,0.45,0.85,0.05,0.6,-0.1,0.7
Nike shares rise as retail growth bounces back strongly - Day -11,https://finance.yahoo.com/news/nike-sim-11,2026-05-04 00:12:29,-0.15,-0.2,0.85,0.05,0.6,-0.1,0.7
Nike shares rise as retail growth bounces back strongly - Day -12,https://finance.yahoo.com/news/nike-sim-12,2026-05-03 00:12:29,0.25,0.45,0.85,0.35,0.6,0.15,0.7
Nike shares rise as retail growth bounces back strongly - Day -13,https://finance.yahoo.com/news/nike-sim-13,2026-05-02 00:12:29,-0.15,-0.2,0.85,0.05,0.6,-0.1,0.7
Nike shares rise as retail growth bounces back strongly - Day -14,https://finance.yahoo.com/news/nike-sim-14,2026-05-01 00:12:29,0.25,0.45,0.85,0.05,0.6,-0.1,0.7
