source_name,author,title,description,url,publishedAt
PRNewswire,,AI propels global brands to unprecedented growth - Kantar BrandZ,"Google crowned as new no.1 in global top 100; Nvidia, Amazon and Tencent feature in a top 10 dominated by tech; Chinese brands see an average 32% year-on-year increase in value NEW YORK, May 14, 2026 /PRNewswire/ -- The acceleration of AI has resulted in one …",https://www.prnewswire.com/news-releases/ai-propels-global-brands-to-unprecedented-growth--kantar-brandz-302771595.html,2026-05-14T12:00:00Z
The Times of India,Faizan Haidar,Jewellery brands rapidly expand footprint in leading malls,"Jewellery stores are now major anchors in Indian malls, occupying nearly 10% of space. This trend is set to continue, reinforcing jewellery's status as a primary anchor. Unlike online sales, jewellery purchases remain experience-led and trust-driven. This shi…",https://economictimes.indiatimes.com/industry/cons-products/fashion-/-cosmetics-/-jewellery/jewellery-brands-rapidly-expand-footprint-in-leading-malls/articleshow/131091780.cms,2026-05-14T11:36:47Z
Business Insider,wedwards@businessinsider.com (William Edwards),"Piper Sandler lays out a contrarian bet on the US consumer, and flags 13 stocks to play the trade","Piper Sandler's Michael Kantrowitz says high yield eventually give way to lower rates, setting the stage for beaten-down consumer stock to rally.",https://www.businessinsider.com/stock-picks-to-buy-contrarian-bet-consumer-spending-interest-rates-2026-5,2026-05-14T09:40:01Z
WWD,Stanislava Datskovska,"Ski Season Is Over. Aspen’s Only Five-Star, Five-Diamond Hotel Proves You Can Apply the Après Attitude to Your Summer Style, Too","Our editor reviews The Little Nell hotel in Aspen, Colorado, and its lifestyle apparel brand: the Aspen Collection.",http://wwd.com/shop/shop-fashion/apres-ski-style-guide-spring-little-nell-aspen-review-book-1238952457/,2026-05-13T19:43:46Z
PRNewswire,,Beauty's Next Wave Sees Consumers Adding Aesthetic Procedures and Longevity Treatments to Regular Routines,"Report from BCG and WWD Highlights ""Optimizer"" Consumers Reshaping the Beauty Market 80% Say Beauty Is About How They Feel Physically and Mentally, Not Just Appearance 75% Use AI to Research Beauty, with 1 in 4 Relying on It as Their Primary Source BOSTON, Ma…",https://www.prnewswire.com/news-releases/beautys-next-wave-sees-consumers-adding-aesthetic-procedures-and-longevity-treatments-to-regular-routines-302770110.html,2026-05-13T04:01:00Z
WWD,KAbel,Bruno Magli Marks 90 Years With Multi-season Cynthia Rowley Collaboration,Bruno Magli is marking its 90th anniversary and collaborating with Cynthia Rowley on a multi-season collaboration.,http://wwd.com/footwear-news/shoe-industry-news/bruno-magli-cynthia-rowley-collaboration-1238949995/,2026-05-12T11:00:00Z
WWD,Stanislava Datskovska,Lucky Brand and Coca-Cola’s Oh-So-American Apparel Collection Arrives Ahead of the United States’ 250th,"Inside: vintage-inspired trucker jackets, denim shorts, and ringer tees for repping the red, white, blue, and bubbly.",http://wwd.com/shop/shop-fashion/lucky-brand-coca-cola-americana-collection-buy-online-1238950861/,2026-05-12T10:09:56Z
Hurriyet Daily News,hurriyetdailynews.com,Turkish apparel industry to shift focus from price to value,"The Turkish apparel industry will shift its focus toward high-value-added production in the medium and long term, said Mustafa Paşahan, chair of the Istanbul Apparel Exporters’ Association (İHKİB), stressing that Türkiye can no longer compete as a low-cost pr…",https://www.hurriyetdailynews.com/turkish-apparel-industry-to-shift-focus-from-price-to-value-222052,2026-05-12T06:45:32Z
BusinessLine,"Team BL, KS Badri Narayanan","Q4 Results Today Highlights: Canara Bank Q4 profit dips, UPL, PVR Inox, Shyam Metalics profit rise, JSW Energy, IHCL, Abbott, JB Chemicals, Nuvama, Syrma SGS Tech, Anant Raj, JBM Auto to announce Q4 results","Q4 Results Today, May 11, 2026, Highlights: Find all the latest Q4 results 2026 highlights of Abbott India, Ad-Manum Finance, Aerpace Industries, Anant Raj-$, Arfin India, Asarfi Hospital, Atvo Enterprises, Aurionpro Solutions, Bright Outdoor Media, Butterfly…",https://www.thehindubusinessline.com/markets/q4-results-today-live-highlights-canara-bank-jsw-energy-ihcl-abbott-upl-jb-nuvama-syrma-sgs-tech-anant-raj-jbm-auto-swiggy-sbi-hyundai-titan-tcp-mcx-results-11-may-2026/article70954948.ece,2026-05-11T15:43:41Z
WWD,Roy Stephen Canivel,Big Tech in Fashion Feels New. History Says Otherwise.,"Even before the Met Gala, tech companies have been investing deeply in the world of fashion.",http://wwd.com/sourcing-journal/industry-news/big-tech-in-fashion-met-gala-bezos-meta-google-apple-1238948244/,2026-05-11T11:00:00Z
WWD,Rhonda Richford,CFOs Take Center Stage at Global Fashion Summit,"Global Fashion Summit 2026 highlights CFOs' role in scaling sustainability, linking resilience, innovation, and profitability in fashion.""",http://wwd.com/sustainability/business/cfos-sustainability-global-fashion-summit-2026-1238949150/,2026-05-11T05:30:00Z
WWD,Rhonda Richford,"EXCLUSIVE: Fairly Made Expands Into U.S. With Key Clients, Director Appointment","Fairly Made expands to the U.S., offering traceability tech to fashion brands tackling compliance, forced labor risks, and sustainability.",http://wwd.com/business-news/human-resources/fairly-made-us-expansion-traceability-fashion-tech-1238947374/,2026-05-11T05:00:00Z
WWD,Jean E. Palmieri,Quince Projects Doubling Men’s Sales by Next Year,The DTC essentials brand that sells everything from sweaters to sheets believes menswear can account for 40 percent of its $1 billion volume by 2027.,http://wwd.com/menswear-news/mens-retail-business/quince-mens-sales-christopher-sung-1238943946/,2026-05-11T04:01:00Z
BusinessLine,"Team BL, KS Badri Narayanan","Q4 Results Today Live: Canara Bank, JSW Energy, IHCL, Abbott India, UPL, JB Chemicals, Nuvama Wealth, NIACL, Shyam Metalics, Syrma SGS Tech, Anant Raj, JBM Auto to announce Q4 results, SBI, Titan, TCP, Hyundai, MCX, Swiggy, BoB, Urban Company shares in focus","Q4 Results Today, May 11, 2026, Live Updates: Find all the latest Q4 results 2026 updates of Abbott India, Ad-Manum Finance, Aerpace Industries, Anant Raj-$, Arfin India, Asarfi Hospital, Atvo Enterprises, Aurionpro Solutions, Bright Outdoor Media, Butterfly …",https://www.thehindubusinessline.com/markets/q4-results-today-live-updates-canara-bank-jsw-energy-ihcl-abbott-upl-jb-nuvama-syrma-sgs-tech-anant-raj-jbm-auto-swiggy-sbi-hyundai-titan-tcp-mcx-results-11-may-2026/article70954948.ece,2026-05-11T03:32:46Z
Forbes,"Pamela N. Danziger, Senior Contributor, 
 Pamela N. Danziger, Senior Contributor
 https://www.forbes.com/sites/pamdanziger/",‘The Devil Wears Prada 2’ Lands As Luxury Fashion Fights To Pull Gen Z Into Its Orbit,Luxury fashion brands are hoping 'The Devil Wears Prada 2' will attract Gen Z and revive a personal luxury market facing a two-year downturn.,https://www.forbes.com/sites/pamdanziger/2026/05/10/the-devil-wears-prada-2-lands-as-luxury-fashion-fights-to-pull-gen-z-into-its-orbit/,2026-05-10T16:20:03Z
CBC News,,"Winnipeg-based retailer to liquidate all Warehouse One, Bootlegger stores","Winnipeg-based clothing retailer Warehouse One is moving to liquidate all of its 128 stores, including Bootlegger.",https://www.cbc.ca/news/canada/manitoba/warehouse-one-jeans-retailer-winnipeg-insolvency-9.7192197,2026-05-08T16:57:09Z
WWD,Stanislava Datskovska,"Yes, Macy’s Sells Premium Labels Like Miu Miu and Gucci, Too — Our Editor Tests Out the Retailer’s Hottest Buys This Spring","Divorcing from its ""mall brand"" reputation, Macy's has doubled down on giving shoppers what they really want: luxury. Here's how to revamp your seasonal wardrobe with Macy's bestsellers.",http://wwd.com/shop/shop-fashion/best-spring-styles-at-macys-buy-luxury-clothing-accessories-1238945823/,2026-05-07T18:09:43Z
GlobeNewswire,CMI MARKET RESEARCH PRIVATE LIMITED,"[Latest] Global On-the-Go Packaging Market Size/Share Worth USD 5.49 Billion by 2035 at a 7.28% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, Value, SWOT Analysis)","[220+ Pages Latest Report] According to a market research study published by Custom Market Insights, the demand analysis of Global On-the-Go Packaging Market size & share revenue was valued at approximately USD 2.72 Billion in 2025 and is expected to reach US…",https://www.globenewswire.com/news-release/2026/05/07/3290246/0/en/Latest-Global-On-the-Go-Packaging-Market-Size-Share-Worth-USD-5-49-Billion-by-2035-at-a-7-28-CAGR-Custom-Market-Insights-Analysis-Outlook-Leaders-Report-Trends-Forecast-Segmentatio.html,2026-05-07T14:30:00Z
WWD,Kate Nishimura,"Op-Ed: Why AI agents Will Replace Manual Sourcing, Not Humans","Procurement teams are being asked to deliver more value amid constant disruption, as they manage tariffs, geopolitical shifts, energy volatility, and talent shortages.",http://wwd.com/sourcing-journal/industry-news/op-ed-ai-agents-manual-sourcing-procurement-alix-partners-1238945202/,2026-05-07T14:00:00Z
