date,vendas_vestuario,inflacao_vestuario,nike_close,nike_volume,lvmh_close,lvmh_volume,inditex_close,inditex_volume,sentiment_score,nike_sentiment,lvmh_sentiment,inditex_sentiment,general_sentiment
2024-12-31,25942.0,130.436,75.67,9425602.0,,,25.51,104870.0,0.0,0.0,0.0,0.0,0.0
2025-01-02,25942.0,130.436,73.67,10883418.0,,,25.7,148184.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,25942.0,130.436,73.31,10083479.0,,,25.68,240647.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,25942.0,130.436,72.0,14947258.0,,,26.24,284034.0,0.0,0.0,0.0,0.0,0.0
2025-01-07,25942.0,130.436,72.09,10463514.0,,,26.12,294321.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,25942.0,130.436,71.29,11854967.0,,,26.13,200408.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,25942.0,130.436,71.2,15677383.0,,,25.64,165957.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,25942.0,130.436,72.08,14584312.0,,,25.08,206223.0,0.0,0.0,0.0,0.0,0.0
2025-01-14,25942.0,130.436,71.17,16732893.0,,,25.36,239721.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,25942.0,130.436,71.07,13468081.0,130.68,309058.0,25.8,131387.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,25942.0,130.436,71.11,13694629.0,144.17,828539.0,25.2,431439.0,0.0,0.0,0.0,0.0,0.0
2025-01-17,25942.0,130.436,70.84,9711265.0,142.08,253041.0,25.44,332038.0,0.0,0.0,0.0,0.0,0.0
2025-01-21,25942.0,130.436,73.17,14199943.0,146.35,526333.0,25.3226,411996.0,0.0,0.0,0.0,0.0,0.0
2025-01-22,25942.0,130.436,74.04,13029273.0,148.05,429406.0,25.21,814736.0,0.0,0.0,0.0,0.0,0.0
2025-01-23,25942.0,130.436,74.29,10677448.0,150.75,263891.0,25.39,219673.0,0.0,0.0,0.0,0.0,0.0
2025-01-24,25942.0,130.436,73.57,8106651.0,154.35,398809.0,25.56,132606.0,0.0,0.0,0.0,0.0,0.0
2025-01-27,25942.0,130.436,75.58,11665384.0,158.75,307804.0,25.56,191167.0,0.0,0.0,0.0,0.0,0.0
2025-01-28,25942.0,130.436,74.39,8694418.0,155.17,915093.0,26.2,155625.0,0.0,0.0,0.0,0.0,0.0
2025-01-29,25942.0,130.436,76.58,11764839.0,149.0603,582002.0,26.66,1017094.0,0.0,0.0,0.0,0.0,0.0
