source_name,author,title,description,url,publishedAt
Plos.org,"Shangjun Piao, Jiantao Guo",Seafood procurement auctions in the presence of origin falsification: Price-only auction versus scoring auction,"Origin falsification in seafood procurement is a significant issue that threatens supply chain integrity and distorts market competition. Despite advances in origin detection technologies, this problem persists, particularly when penalty mechanisms lack suffi…",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0348582,2026-05-14T14:00:00Z
WWD,Stanislava Datskovska,Not Your Dad’s Shoes: A Guide to Shopping Viral New Balance Sneakers at Global Footwear Marketplace Kicks Crew,"Rare colorways and fresh releases — finally at your fingertips, no connection to hypebeasts necessary.",http://wwd.com/shop/shop-shoes/best-new-balance-sneakers-dad-shoes-buy-online-kicks-crew-1238953638/,2026-05-14T13:39:28Z
Economictimes.com,ETMarkets.com,​10 stocks to buy: Inside Morgan Stanley's India model portfolio and the themes it is betting on,"Morgan Stanley's latest India model portfolio reflects a mix of consumption, financials, infrastructure, utilities and real estate themes. The brokerage continues to favour companies with strong balance sheets, sector leadership and long-term earnings visibil…",https://m.economictimes.com/markets/stocks/news/10-stocks-to-buy-inside-morgan-stanleys-india-model-portfolio-and-the-themes-it-is-betting-on/portfolio-watch/slideshow/131083742.cms,2026-05-14T05:36:20Z
Fuckingyoung.es,Adriano Batista,Victoria and SALPI: A Collaboration Built to Last,"Victoria has teamed up with Barcelona-based brand SALPI on a limited edition that takes the vulcanised boot into new territory. The shoe launches on 14 May at the Victoria store in Barcelona and on... »
The post Victoria and SALPI: A Collaboration Built to La…",https://fuckingyoung.es/victoria-and-salpi-a-collaboration-built-to-last/,2026-05-14T03:10:26Z
Fuckingyoung.es,Adriano Batista,PUMA Brings Back the Homura from Its Early 2000s Archive,"PUMA is reintroducing the Homura, a running shoe that originally launched during the brand's Y2K era.
The post PUMA Brings Back the Homura from Its Early 2000s Archive appeared first on Fucking Young!.",https://fuckingyoung.es/puma-brings-back-the-homura-from-its-early-2000s-archive/,2026-05-14T02:04:37Z
Fuckingyoung.es,Anna Barr,Eva Losada Membibre’s solo exhibition “The Red Dot” Opens at Foundry Downtown,"At Foundry Downtown, Spanish artist, photographer, and creative director Eva Losada Membibre turns a small but loaded symbol into the focal point of her latest solo exhibition, The Red Dot.
The post Eva Losada Membibre’s solo exhibition “The Red Dot” Opens at…",https://fuckingyoung.es/eva-losada-membibres-solo-exhibition-the-red-dot-opens-at-foundry-downtown/,2026-05-14T00:11:41Z
Motley Fool Australia,Marc Van Dinther,"These ASX retail stocks are near 52-week lows, are they bargain buys?","Both shares offer growth runways in a difficult retail environment.
The post These ASX retail stocks are near 52-week lows, are they bargain buys? appeared first on The Motley Fool Australia.",https://www.fool.com.au/2026/05/14/these-asx-retail-stocks-are-near-52-week-lows-are-they-bargain-buys/,2026-05-13T21:15:00Z
Motley Fool Australia,James Mickleboro,Why this could be one of the best ASX dividend stocks to buy now,"Bell Potter is tipping big returns from this dividend payer.
The post Why this could be one of the best ASX dividend stocks to buy now appeared first on The Motley Fool Australia.",https://www.fool.com.au/2026/05/14/why-this-could-be-one-of-the-best-asx-dividend-stocks-to-buy-now/,2026-05-13T21:02:48Z
Thecurvyfashionista.com,Marie Denee,The Eloquii x PatBo Collection Is the Plus Size Collab Summer Needed,"Eloquii x PatBo just dropped a summer capsule that is bold, Brazilian-inspired, and built for us. Here's everything you need to know about the collab and why it matters.
This article, The Eloquii x PatBo Collection Is the Plus Size Collab Summer Needed first …",https://thecurvyfashionista.com/eloquii-x-patbo-collaboration/,2026-05-13T20:30:00Z
WWD,Stanislava Datskovska,"Ski Season Is Over. Aspen’s Only Five-Star, Five-Diamond Hotel Proves You Can Apply the Après Attitude to Your Summer Style, Too","Our editor reviews The Little Nell hotel in Aspen, Colorado, and its lifestyle apparel brand: the Aspen Collection.",http://wwd.com/shop/shop-fashion/apres-ski-style-guide-spring-little-nell-aspen-review-book-1238952457/,2026-05-13T19:43:46Z
