date,close,high,low,open,volume
2024-12-31T00:00:00.000Z,130.69,132.6,130.33,130.86,160151.0
2025-01-02T00:00:00.000Z,129.57,130.45,128.591,129.35,344622.0
2025-01-03T00:00:00.000Z,126.25,127.07,125.4,126.91,309004.0
2025-01-06T00:00:00.000Z,131.55,132.58,129.86,130.43,598401.0
2025-01-07T00:00:00.000Z,133.0,134.27,132.55,133.88,432899.0
2025-01-08T00:00:00.000Z,131.12,131.61,129.6645,130.75,289105.0
2025-01-10T00:00:00.000Z,132.4,133.87,131.5,133.82,395987.0
2025-01-13T00:00:00.000Z,134.02,134.02,131.34,131.67,284384.0
2025-01-14T00:00:00.000Z,134.05,135.38,133.55,135.32,218959.0
2025-01-15T00:00:00.000Z,130.68,133.91,130.46,133.78,309058.0
2025-01-16T00:00:00.000Z,144.17,144.22,139.85,140.4,828539.0
2025-01-17T00:00:00.000Z,142.08,142.93,141.2195,142.6,253041.0
2025-01-21T00:00:00.000Z,146.35,146.89,144.53,145.37,526333.0
2025-01-22T00:00:00.000Z,148.05,149.0,147.99,148.45,429406.0
2025-01-23T00:00:00.000Z,150.75,151.11,148.6993,148.84,263891.0
2025-01-24T00:00:00.000Z,154.35,154.87,152.37,152.97,398809.0
2025-01-27T00:00:00.000Z,158.75,159.97,155.46,155.54,307804.0
2025-01-28T00:00:00.000Z,155.17,159.03,145.19,157.61,915093.0
2025-01-29T00:00:00.000Z,149.0603,149.61,147.02,148.2,582002.0
2025-01-30T00:00:00.000Z,149.4,151.05,148.56,149.19,847013.0
2025-01-31T00:00:00.000Z,145.66,147.37,144.68,145.87,285699.0
2025-02-03T00:00:00.000Z,141.69,142.984,140.057,140.6,344620.0
2025-02-04T00:00:00.000Z,144.49,145.06,142.93,143.26,223043.0
2025-02-05T00:00:00.000Z,143.05,143.56,141.57,143.05,232266.0
2025-02-06T00:00:00.000Z,144.88,145.0,143.13,143.46,204774.0
2025-02-07T00:00:00.000Z,140.63,143.11,140.63,142.95,260348.0
2025-02-10T00:00:00.000Z,141.62,141.71,139.85,140.14,404384.0
2025-02-11T00:00:00.000Z,142.7,142.87,141.0,141.14,184340.0
2025-02-12T00:00:00.000Z,144.42,145.0,140.12,140.35,336947.0
2025-02-13T00:00:00.000Z,149.0,149.0,146.09,146.31,250306.0
2025-02-14T00:00:00.000Z,149.62,151.13,149.13,150.39,237432.0
2025-02-18T00:00:00.000Z,147.24,148.0,147.01,147.26,222426.0
2025-02-19T00:00:00.000Z,143.65,144.7,143.27,144.23,173803.0
2025-02-20T00:00:00.000Z,145.65,146.4,144.75,145.24,150680.0
